전/월세,보증금,월세,공급면적,전용면적,층,남향
0,17850,40,33,23,5,0
1,17850,0,33,23,5,0
1,20000,0,39,35,2,1
1,25000,0,21,18,5,0
1,32500,0,37,23,6,0
1,36500,0,36,29,5,0
1,31000,0,32,26,6,1
0,2000,33,33,29,3,0
1,25000,0,21,18,5,0
1,32500,0,31,23,5,0
1,32500,0,34,23,6,0
0,2000,65,35,29,5,0
1,30000,0,49,34,5,0
1,27800,0,35,29,5,1
1,27300,0,21,18,5,1
1,15000,0,50,37,4,0
0,7000,50,42,42,3,0
0,2000,40,42,42,4,0
0,1000,45,38,38,2,0
0,0,35,28,28,3,0
0,0,35,35,35,2,1
1,27000,0,35,35,6,0
1,33000,0,31,25,6,0
1,27300,0,39,39,5,0
1,34000,0,18,15,6,0
1,32000,0,35,30,6,0
1,21000,0,42,39,4,0
0,1000,52,26,18,4,0
0,2000,35,33,33,3,0
0,0,35,59,25,2,0
1,31000,0,49,26,6,1
1,34200,0,46,26,6,0
1,20000,0,36,36,2,0
1,15000,0,33,25,7,0
1,35000,0,26,25,6,0
1,18000,0,38,32,4,1
0,2000,60,35,25,5,0
1,13000,0,32,28,2,0
1,30000,0,40,34,5,0
1,19000,0,49,36,3,1
1,4200,0,33,23,4,0
0,24000,5,20,14,16,0
1,33000,0,40,29,5,0
1,33000,0,40,29,5,0
1,33000,0,40,29,5,0
1,33000,0,40,29,5,0
0,1000,70,40,25,15,0
0,1000,70,40,25,15,0
0,2000,90,44,39,3,0
0,1000,70,40,25,15,0
0,1000,85,38,38,6,0
0,1000,50,20,20,3,0
0,3000,116,46,29,6,0
0,3000,116,46,29,6,0
0,0,57,19,18,2,0
1,27000,0,49,49,3,1
1,21000,0,33,29,5,0
0,1000,70,25,25,3,0
0,1000,70,61,26,3,1
0,7000,50,38,30,5,0
0,7000,50,38,30,5,0
1,25000,0,50,49,3,0
1,29400,0,31,26,6,0
0,5000,55,36,32,4,0
0,24000,5,20,14,16,0
1,18500,0,158,18,5,0
1,28000,0,43,34,6,1
0,1000,70,40,40,3,1
0,2000,90,35,27,5,0
0,7000,50,51,39,5,0
0,1000,85,130,23,3,0
1,27000,0,48,29,5,0
1,20000,0,41,41,2,0
0,1000,90,35,27,5,0
0,0,55,13,13,3,0
0,1000,85,27,27,3,0
0,8000,80,45,45,3,0
1,33000,0,40,29,5,0
1,29500,0,44,26,6,0
1,28000,0,34,34,6,1
0,25000,25,35,26,6,0
1,28000,0,43,34,5,1
1,45000,0,45,28,6,0
0,1000,80,33,32,3,1
1,38000,0,62,47,12,0
1,38000,0,62,47,12,0
0,1000,55,26,25,3,1
0,1000,85,40,30,6,0
0,1000,50,45,45,3,0
0,1000,85,27,23,3,0
0,1000,50,49,41,4,0
0,1000,85,25,23,3,0
0,1000,70,40,30,4,0
1,18000,0,27,18,6,0
1,18000,0,25,20,5,0
1,22000,0,32,24,5,0
0,1000,75,52,29,15,0
1,18000,0,32,24,5,0
1,29400,0,29,26,6,0
1,30000,0,42,37,5,0
0,4000,70,40,30,5,0
0,1000,100,64,35,15,0
0,1000,75,52,29,15,0
0,0,40,81,19,3,0
1,27560,0,37,29,5,0
1,18000,0,27,23,5,0
1,27000,0,48,29,5,0
0,2000,90,124,43,3,0
0,0,63,30,25,4,0
0,2000,90,33,33,3,0
